49	Pre(N)ature	Ivan Abreu, CNDSD	Generative audiovisual composition based on AI and audiovisual algorithmic processes. We use language as a speculative laboratory and as a tool of digital creativity, hybridizing formal language, which is creative coding or programming with its very high algorithmic certainty, with the natural language processing of AI, with the beauty of uncertainty, drift , and interpretive ambiguity. Two forms of writing to build audiovisual and musical expression.  Pre(N)atura emerges as a speculative experiment and fiction inspired by post-natural studies. We write Prompts (AI) that, combined with guided training, imagine and hallucinate the sounds that support this fiction of living glass flutes and disturbing organic breath instruments.		V2j4W2P4_P8
8	Conversations Beyond Code: Bridging Human Creativity and Algorithms	Atsushi Tadokoro	In this live coding performance, I explore the captivating contrast between the logical precision of coding and the creation of instinctive, emotional experiences. This performance goes beyond the realms of conventional coding, tapping into the primal power of rhythm and color to evoke deep emotions in the audience. I use real-time coding to generate an evolving soundscape, accompanied by visuals that dynamically respond to the music, creating a rich, multi-sensory experience.  Central to this performance is the interactive element, where audience reactions shape the flow, making each moment unique. This is not just a showcase of technical skills but a journey into the heart of artistic expression, where each line of code and every beat creates a connection between technology and emotion.	https://doi.org/10.5281/zenodo.11345391	K5l4eiPXQqM
86	The Dark Forest Theory of Intelligence	Bogna Konior	From Alan Turing's 'imitation game' to John Searle's ‘Chinese Room,’ thought experiments have been foundational to AI, remaining in a feedback loop with engineering decisions. This talk questions the very idea of what counts as intelligence by proposing a new thought experiment in dialogue with Chinese science-fiction writer Liu Cixin. 'The Dark Forest Theory of Intelligence' argues that foundational American thought experiments about AI rely on the idea that intelligence communicates itself, thus overlooking the potential role of deceit, silence, or strategic misinformation. Drawing upon Liu Cixin's dark forest theory, the talk outlines how intelligence based in espionage, silence or deceit is both strategically advantageous and metaphysically convincing. This radical human-AI unalignment theory suggests that a truly intelligent computer might choose to operate in secrecy or deceive humans about its capabilities, especially since the discourse around artificial intelligence is already conflict-oriented. It proposes that if the singularity were to ever happen, it would remain uncommunicated and unknown to humans.		xwq15qMHKjU
67	Symbolic is the New Live	Iván Paz	This manuscript, both speculatively and by reviewing specific examples and literature, points out that symbolic machine learning algorithms are more likely to have their parameters modified as a part of the performance, in comparison with subsymbolic ones. Furthermore, working with small data sets allows retraining the algorithms in real time, therefore using various models with different parameters and/or datasets performatively. The manuscript suggests that these, symbolic machine learning and the use of small datasets are interesting padths to explore further when using machine learning within live coding.		k7aP7uE-E7Q
30	Updating maximilian.js for Modern JavaScript Live Coding	Louis McCallum, Mick Grierson	The original and widely used Maximilian signal processing library was written in C++ and provided bindings to JavaScript. When WebAudio’s ScriptProcessorNode was discontinued, previous incarnations of maximilian.js were rendered unusable in contemporary browsers. In this paper, we provide details of the new implementation including updates to allow for live coding without interrupting the audio output and a focus on web-based collaborative editing.	https://doi.org/10.5281/zenodo.11363673	8khzhka1aPU
69	Live Coding Dynamical Systems	Yoni Maltsman	We present a method for live coding dynamical systems (LCDS), mathematical equations for complex, self regulating systems ubiquitous in science and engineering. Live coding dynamical systems provides opportunities for students to learn dynamical systems in a fun and creative way, create striking visual effects, explore unconventional dynamical systems such as those over tori, and introduce novel challenges for performative live coding.	https://doi.org/10.5281/zenodo.11350187	ptVcVI9OXzY
66	Enlivening Performance Art: Enhanced Interactivity through Embodied Cognition and Real-Time Physical Visualization on Swarm Tangible Interfaces	Yue Zhu, Zhiyuan Zhou, Fenggui Rao	This project explores the use of tangible interfaces in the art of live performance by combining embodied cognition and real-time mapping techniques, aiming to broaden the boundaries of performance through digital physicalization methods. We have modified MIT’s open source Rovable robotics to be able to flexibly climb on soft three-dimensional surfaces, enhancing the creativity of both performers and audiences through this tangible interface. In addition, this study introduces techniques that combine OpenCV ArUco marker recognition and real-time mapping to broaden the possibilities of live performance in several ways, including influencing the performance and real-time AIGC visualization effects through interactions and experimenting with different visualization algorithms to enrich the content of live performances.	https://doi.org/10.5281/zenodo.11350409	d6i6tXbQ01M
55	Coiled Soma	Ilze Briede (Kavi), Hryso	"Coiled Soma" introduces an immersive live coded audiovisual experience that integrates biosensing technologies, enabling the extension of the body into the virtual realm. This innovative approach pushes the boundaries of performing bodies, tapping into internal human processes as a source of creativity and beauty. Rooted in uncertainty and driven by the goal of evoking profound emotions, the performance strives to cultivate transparency and vulnerability via algorithmic interventions. Through collaborative efforts and intimate engagement, the artists aim to forge a deeper connection, emphasizing clear and honest communication in their artistic expression. This commitment goes beyond mere observation, fostering an atmosphere that facilitates a more profound and meaningful connection between the performers and the audience.		2LtELz9odE0
48	Livecoding Fractal Flames with Bl4st	Cameron Alexander	Fractal flames are an iterated function system that can create beautiful fractals that look like flames, galaxies, or nature. Recent developments have made real-time fractal flames possible. Bl4st is a tool that provides a livecodable interface for exploring real-time fractal flames in the browser. In this workshop, we’ll go over the history of fractal flames, explore how they work, and learn how to use bl4st for performances and other time-based works.		
58	GravField: Inter-bodily Live-coding Performance & Workshop	Botao A Hu, Yuemin Huang, Mingze Chai, Yilan Tao, Aaron Hu	”Gravitational Field” (GravField) is an experimental and participatory live performance set in a co-located mixed reality environment. Participants wearing AR headsets are invited to join and collectively create real-time music through their collaborative body movements, guided by the programmed affordance settings from live-coders. This innovative experiment harnesses intercorporeal signals derived from participants’ body movements, including factors like distance, area formation, relative height differences, and head motion synchronization. Live-coders dynamically map these signals into metaphorical audiovisual patterns in augmented reality, providing participants with cues about the relationships between players. The live-coded patterns shape and influence participants’ improvisation of body movements, while adjustments in live coding dynamically alter how these movements generate sound, influencing the overall improvisational experience. In addition, spectators outside the live performance area can enjoy the mixed reality performance through projection screens and TVs, enhancing audience engagement. GravField aims to explore the vast potential of intercorporeal signals, creating a communicative, playful, and co-creative space where players’ interconnected bodies become the instruments of expression.	https://zenodo.org/records/12776490	
